# Original catalog: COSMOS2015_Laigle+_v1.1.fits.gz
# 
# Selected: 0 < ip (after correction) < 25.0,
#           ip_FLAGS < 4,
#           TYPE == 0,
#           PHOTOZ > 0,
#           CLASS == 0
# 
# Observe with: Single fibers
# 
# Date: 20 Jul 2021
# 
#  NUMBER  ALPHA_J2000  DELTA_J2000 PHOTOZ  MASS    SFR       u   u_err       B   B_err       V   V_err       r   r_err       i   i_err       z   z_err
   222811 150.29125970  1.617152415   0.33  9.61 -11.16   25.18    0.20   24.28    0.06   23.05    0.04   22.37    0.02   21.81    0.01   21.50    0.01
   222829 149.61071743  1.617502705   1.35 11.07  -0.92   26.59   -1.00   26.26    0.23   25.81    0.23   24.66    0.10   23.39    0.04   22.45    0.02
   222863 150.35905167  1.619787209   0.12  6.87  -5.86   26.88   -1.00   26.42    0.22   25.77    0.17   25.30    0.11   24.94    0.12   24.97    0.16
   222878 150.21945683  1.618076570   0.21  9.02  -2.26   25.25    0.18   24.34    0.06   23.22    0.04   22.81    0.03   22.40    0.02   22.12    0.02
   222927 149.78348820  1.619267272   0.51  9.25  -1.33   25.97    0.41   25.37    0.10   24.23    0.06   23.55    0.04   22.98    0.03   22.75    0.03
   222968 150.22945150  1.616849753   0.89 10.44  -1.12   26.03    0.43   25.65    0.14   24.63    0.10   23.89    0.05   22.68    0.03   21.94    0.02
   223088 150.31362589  1.619589357   0.60  9.25  -2.74   26.87   -1.00   27.04    0.38   26.07    0.23   25.20    0.11   24.25    0.07   23.92    0.07
   223114 150.26714716  1.619132852   0.88 10.26  -1.30   26.08    0.39   26.04    0.18   25.11    0.12   24.14    0.06   23.02    0.03   22.35    0.02
   223151 149.65050258  1.620101650   0.12  7.32  -3.59   26.61   -1.00   26.51    0.25   25.84    0.21   25.33    0.13   24.95    0.14   24.78    0.18
   223278 150.31812654  1.618484558   0.69 10.83  -6.06   26.41    0.61   25.45    0.12   23.81    0.05   22.93    0.03   21.74    0.01   21.21    0.01
   223343 149.91250390  1.620175732   0.07  7.14  -5.69   26.78   -1.00   26.26    0.18   25.89    0.19   25.28    0.11   24.33    0.07   24.63    0.13
   223357 149.86690515  1.617134551   1.28 11.00  -0.14   25.63    0.37   25.18    0.10   24.84    0.11   23.87    0.05   22.81    0.03   21.90    0.02
   223495 149.66388909  1.625871708   0.46 11.17 -11.77   23.51    0.07   21.99    0.02   20.77    0.01   19.76    0.01   18.96    0.00   18.61    0.00
   223532 150.04412105  1.617127805   0.61 11.05  -9.73   24.79    0.10   23.45    0.04   21.97    0.02   21.08    0.01   20.09    0.01   19.61    0.00
   223533 150.26400254  1.618704061   0.89 10.62  -0.24   24.66    0.19   24.28    0.08   23.67    0.07   22.83    0.04   21.71    0.02   21.11    0.01
   223589 149.68855840  1.624108369   0.77 11.16  -0.40   23.67    0.32   23.00    0.09   22.15    0.07   21.16    0.03   20.22    0.02   19.68    0.01
   223671 149.92716312  1.620700677   0.99 10.22  -0.47   26.72   -1.00   26.68    0.30   26.32    0.34   25.56    0.17   24.41    0.10   23.57    0.06
   223768 150.35784730  1.620477573   0.84 10.13  -0.24   25.70    0.29   25.41    0.11   25.15    0.12   24.55    0.07   23.49    0.04   22.97    0.03
   223783 149.87811844  1.620065840   1.20 10.62  -0.51   26.14    0.53   25.94    0.16   25.37    0.14   24.49    0.07   23.46    0.04   22.46    0.02
   223792 149.69277763  1.617217585   0.52 10.05  -0.87   25.44   -1.00   24.82    0.16   23.90    0.12   23.12    0.06   22.34    0.04   22.13    0.05
   223826 150.18078985  1.617906344   0.47 10.69  -0.60   24.40    0.07   23.45    0.04   22.31    0.02   21.43    0.01   20.67    0.01   20.24    0.00
   223828 149.75798532  1.619200491   0.69 10.09  -1.48   26.53   -1.00   25.56    0.14   24.26    0.08   23.48    0.04   22.42    0.02   22.03    0.02
   223918 149.63494879  1.620778622   1.66 10.67  -0.19   26.63   -1.00   26.04    0.17   25.52    0.16   25.27    0.12   24.72    0.11   24.07    0.10
   223959 149.51026607  1.619342039   0.98 10.57  -0.55   26.72   -1.00   27.75   -1.00   26.29    0.31   25.24    0.12   24.01    0.06   23.07    0.04
   223998 150.03761703  1.620410125   0.76 10.08  -1.49   27.06    0.74   26.18    0.21   24.80    0.10   23.95    0.06   22.84    0.03   22.29    0.02
   224044 149.48808614  1.620646116   0.35 10.80 -12.14   22.93    0.04   21.79    0.02   20.52    0.01   19.77    0.01   19.17    0.00   18.85    0.00
   224101 150.28250428  1.621611343   0.19  8.05  -2.68   26.12    0.34   25.85    0.13   25.01    0.10   24.67    0.07   24.24    0.06   24.00    0.06
   224125 149.93295632  1.618003272   0.38 10.90  -1.29   23.74    0.06   22.53    0.02   21.26    0.02   20.37    0.01   19.75    0.01   19.36    0.00
   224159 149.83900179  1.618326649   0.68 10.59  -0.32   24.89    0.18   24.16    0.05   23.20    0.04   22.48    0.02   21.55    0.01   21.15    0.01
   224171 149.77990318  1.620078991   0.37  9.64  -2.35   25.28    0.25   24.22    0.05   23.07    0.03   22.35    0.02   21.82    0.01   21.50    0.01
   224193 149.65905613  1.621015633   0.29  8.81  -2.04   25.48    0.29   24.68    0.07   23.49    0.04   23.09    0.03   22.74    0.02   22.51    0.02
   224205 150.17264641  1.621638363   0.30  7.95  -2.63   26.96   -1.00   26.69    0.33   25.53    0.19   25.18    0.14   24.75    0.13   24.53    0.16
   224229 150.28582400  1.621560620   0.31  8.48  -4.81   26.74   -1.00   27.01    0.40   25.57    0.17   25.02    0.10   24.44    0.08   24.23    0.10
   224236 149.76665868  1.620988462   0.39  9.33  -1.77   26.46   -1.00   25.32    0.10   24.37    0.07   23.59    0.04   23.11    0.03   22.89    0.03
   224256 150.10790743  1.620982886   1.44 10.74  -0.39   27.13   -1.00   26.28    0.21   25.83    0.20   25.23    0.13   24.01    0.07   23.24    0.04
   224300 150.39095281  1.620586081   0.83 10.29  -1.27   26.65   -1.00   25.90    0.17   24.72    0.10   23.89    0.05   22.74    0.03   22.10    0.01
   224344 150.32508194  1.620580522   1.28 10.81  -0.04   25.16    0.18   25.01    0.09   24.65    0.09   24.06    0.05   23.15    0.03   22.12    0.01
   224377 149.54390642  1.620692994   0.30  8.98  -1.93   26.04    0.47   25.29    0.10   24.26    0.07   23.67    0.04   23.22    0.04   23.00    0.04
   224448 150.14527332  1.620956319   0.05  7.08  -4.20   25.85    0.27   25.59    0.13   25.19    0.13   24.58    0.08   24.19    0.07   23.82    0.08
   224458 150.19371290  1.620525297   0.21  8.62  -6.14   25.07    0.14   24.31    0.06   23.29    0.04   22.89    0.03   22.48    0.02   22.27    0.02
   224524 149.83461540  1.621206955   1.54 11.01  -1.56   26.64   -1.00   27.35    0.51   27.30   -1.00   25.74    0.18   24.46    0.10   23.64    0.06
   224543 149.80734397  1.621439411   0.38 10.96  -0.16   22.98    0.04   22.07    0.02   20.86    0.01   20.05    0.01   19.42    0.00   19.03    0.00
   224550 149.88053032  1.622471500   0.19  8.11  -3.94   26.64   -1.00   26.82    0.30   25.64    0.17   25.04    0.10   24.62    0.10   24.33    0.11
   224577 150.37607293  1.622529591   0.20  7.39  -4.81   26.86   -1.00   26.63    0.28   25.69    0.17   25.15    0.10   24.96    0.12   24.78    0.14
   224578 150.01477014  1.621085903   1.11 10.83  -9.94   27.09   -1.00   26.95    0.55   26.02    0.32   24.79    0.13   23.43    0.06   22.36    0.02
   224621 149.54342586  1.621567270   0.33  8.58  -4.75   26.35    0.61   25.66    0.13   24.37    0.07   23.80    0.05   23.35    0.04   23.14    0.04
   224641 149.52297863  1.620084021   0.46 10.37 -10.40   24.94    0.17   23.61    0.04   22.41    0.03   21.53    0.01   20.85    0.01   20.48    0.00
   224699 149.80455853  1.620413311   1.42 11.15  -1.41   26.60   -1.00   27.52    0.58   26.26    0.32   25.35    0.14   23.75    0.05   22.84    0.03
   224723 150.19519687  1.621021779   0.20  8.86  -7.58   24.68    0.09   23.88    0.05   22.83    0.03   22.42    0.02   22.01    0.02   21.73    0.01
   224743 149.80477192  1.618462132   0.63 10.71  -1.86   25.66    0.42   24.28    0.06   22.81    0.04   21.91    0.02   20.91    0.01   20.44    0.00
   224801 150.15300612  1.622687527   0.52  8.72  -5.28   27.21   -1.00   27.40    0.47   25.91    0.20   25.24    0.11   24.59    0.09   24.19    0.09
   224818 149.64725708  1.622790868   0.06  7.01  -4.09   26.63    0.73   25.83    0.14   25.00    0.10   24.62    0.07   24.29    0.07   24.05    0.08
   224847 149.63982441  1.622336509   1.35 10.51  -0.63   26.71   -1.00   26.19    0.18   25.82    0.20   25.28    0.12   24.32    0.08   23.43    0.05
   224876 150.22535099  1.620447211   1.43 11.21  -1.36   26.81   -1.00   27.58    0.65   25.76    0.21   25.12    0.12   23.63    0.05   22.72    0.03
   224921 149.91036833  1.623110234   0.17  7.74  -3.54   26.76   -1.00   26.91    0.32   26.04    0.23   25.50    0.14   24.81    0.11   24.68    0.15
   224980 150.02523391  1.622921667   1.00  9.44   1.16   27.08    0.76   27.03    0.36   26.21    0.27   25.63    0.16   24.84    0.12   24.19    0.10
   224992 150.23058118  1.620343986   0.36  8.94  -2.79   25.24    0.30   24.35    0.08   23.31    0.05   22.85    0.04   22.52    0.03   22.43    0.03
   225045 149.75481753  1.620141400   0.37 10.17  -3.11   24.52    0.13   23.35    0.03   22.14    0.02   21.36    0.01   20.77    0.01   20.43    0.00
