# Original catalog: COSMOS2015_Laigle+_v1.1.fits.gz
# 
# Selected: 0 < ip (after correction) < 25.0,
#           ip_FLAGS < 4,
#           TYPE == 0,
#           PHOTOZ > 0,
#           CLASS == 0
# 
# Observe with: Single fibers
# 
# Date: 20 Jul 2021
# 
#  NUMBER  ALPHA_J2000  DELTA_J2000 PHOTOZ  MASS    SFR       u   u_err       B   B_err       V   V_err       r   r_err       i   i_err       z   z_err
   321770 149.49452618  1.777140938   0.98  9.84   1.18   26.62    0.71   27.03    0.41   25.76    0.21   25.28    0.15   24.35    0.09   23.67    0.07
   321798 149.78997609  1.775798242   0.41 10.77  -0.52   23.95    0.06   22.85    0.03   21.70    0.02   20.86    0.01   20.22    0.01   19.82    0.00
   321823 150.16858633  1.785037064   0.35 11.03  -1.59   23.11    0.03   21.94    0.02   20.64    0.01   19.88    0.01   19.28    0.00   18.89    0.00
   321869 150.17262247  1.777637466   0.31  8.93  -2.36   26.68    0.46   25.78    0.15   24.68    0.09   24.12    0.07   23.62    0.04   23.36    0.05
   322093 149.99085517  1.778853234   0.87  9.73  -0.64   26.71    0.49   26.69    0.26   25.98    0.21   25.94    0.23   24.60    0.08   24.07    0.08
   322131 149.48115516  1.775170312   0.43 10.77  -5.40   24.48    0.11   23.03    0.03   21.79    0.02   20.88    0.01   20.20    0.01   19.84    0.00
   322235 149.43091096  1.778069232   1.43 10.56  -1.01   26.88   -1.00   27.30    0.45   26.52    0.36   26.01    0.22   24.88    0.13   23.89    0.08
   322387 150.18234720  1.777126927   0.37  9.44  -1.48   25.66    0.19   24.80    0.08   23.77    0.05   23.14    0.03   22.63    0.02   22.34    0.02
   322389 150.16406816  1.777342389   0.34  8.92  -6.66   26.25    0.32   25.22    0.10   24.18    0.07   23.54    0.05   23.08    0.03   22.86    0.03
   322441 149.87301037  1.778410274   0.89 10.56  -0.56   26.12    0.35   25.83    0.15   25.03    0.11   24.18    0.06   23.11    0.03   22.30    0.02
   322446 149.99107405  1.778345946   0.92 10.51  -2.05   27.17   -1.00   26.80    0.30   25.12    0.12   24.19    0.07   23.04    0.03   22.18    0.02
   322533 149.56834613  1.777761932   0.59 10.69  -1.08   26.70    0.78   25.22    0.10   23.78    0.05   22.85    0.03   21.76    0.01   21.26    0.01
   322573 150.13829308  1.778999755   0.72  9.85  -1.72   27.01    0.58   26.50    0.24   25.02    0.11   24.26    0.08   23.21    0.03   22.73    0.03
   322688 149.48506381  1.777364449   0.40  9.70  -3.63   24.38    0.09   23.51    0.04   22.35    0.03   21.65    0.01   21.18    0.01   20.91    0.01
   322713 150.23547570  1.778662577   0.53  9.73  -2.26   26.76    0.55   25.54    0.12   24.23    0.07   23.39    0.04   22.63    0.02   22.22    0.02
   322738 149.87051424  1.776978706   0.42 10.61  -0.51   24.60    0.09   23.45    0.04   22.20    0.02   21.37    0.01   20.71    0.01   20.25    0.00
   322773 149.49126587  1.775306634   0.64 11.22  -0.32   24.25    0.10   23.64    0.04   22.33    0.03   21.47    0.02   20.34    0.01   19.82    0.00
   322781 149.68646703  1.779170143   1.12 10.28   0.02   26.65    0.57   26.51    0.23   26.06    0.23   25.73    0.17   24.65    0.10   23.76    0.07
   322789 149.89166547  1.779993541   0.10  6.77  -5.43   27.07   -1.00   26.31    0.20   25.61    0.17   25.20    0.11   24.89    0.10   24.78    0.17
   322802 150.21975214  1.778590245   0.67 10.49  -0.84   26.81    0.58   26.14    0.18   24.59    0.08   23.67    0.04   22.53    0.02   21.95    0.01
   322821 149.43790102  1.776699294   0.79 11.14   0.23   25.00    0.18   24.39    0.06   23.38    0.04   22.63    0.03   21.44    0.01   20.84    0.01
   322828 149.77208126  1.776054957   0.59 10.48  -1.51   25.11    0.16   24.04    0.05   22.83    0.03   21.94    0.02   21.07    0.01   20.67    0.00
   323061 149.63121296  1.780068082   1.22  9.96  -0.62   26.98   -1.00   26.54    0.23   26.10    0.24   25.55    0.14   24.84    0.11   23.68    0.07
   323110 149.91349488  1.779871073   0.99  9.75   0.91   27.08   -1.00   27.75   -1.00   26.72    0.41   26.08    0.24   24.83    0.10   24.25    0.12
   323134 150.44156997  1.780009129   0.80 10.06   0.39   25.70    0.21   25.13    0.09   24.54    0.08   23.94    0.05   23.04    0.03   22.63    0.02
   323205 150.18198723  1.778383577   0.61 10.52  -1.03   26.71    0.47   25.81    0.15   24.41    0.08   23.52    0.04   22.45    0.02   21.86    0.01
   323222 150.14484645  1.776593294   0.73 11.05  -0.07   24.71    0.08   24.32    0.06   23.29    0.04   22.57    0.03   21.38    0.01   20.80    0.01
   323232 149.81847663  1.779552619   1.29 10.38  -0.47   26.52    0.50   25.81    0.14   25.50    0.16   25.18    0.11   24.27    0.08   23.42    0.05
   323240 149.44200076  1.778837844   1.11 10.87   0.18   25.63    0.30   25.35    0.11   25.12    0.13   24.41    0.07   23.49    0.04   22.54    0.02
   323247 149.44910481  1.776812262   0.83 10.91  -1.65   25.64    0.29   25.07    0.09   23.60    0.05   22.72    0.03   21.47    0.01   20.84    0.01
   323331 150.47557485  1.780132515   0.19  7.97  -4.23   25.62    0.23   24.84    0.08   23.89    0.06   23.72    0.04   23.40    0.04   23.26    0.04
   323374 149.97153956  1.779056003   0.52  9.92  -0.93   24.74    0.09   24.03    0.05   23.02    0.03   22.20    0.02   21.59    0.01   21.26    0.01
   323547 150.20249517  1.780898043   0.27  8.01  -4.72   27.17    0.66   26.33    0.20   25.10    0.11   24.64    0.07   24.14    0.05   24.06    0.08
   323599 150.38006473  1.781068410   0.20  8.11  -2.99   26.43    0.46   26.02    0.18   25.21    0.12   24.73    0.08   24.32    0.07   24.09    0.08
   323661 150.44944364  1.778810093   0.85 10.83  -1.74   26.02    0.34   25.50    0.13   23.98    0.06   23.08    0.03   21.84    0.01   21.06    0.01
   323671 149.57348178  1.781248514   0.91 10.33  -0.04   25.64    0.25   25.22    0.09   24.77    0.09   24.21    0.06   23.15    0.03   22.53    0.02
   323794 149.62260523  1.780202460   0.22  8.80  -2.11   25.59    0.26   24.72    0.07   23.73    0.05   23.27    0.03   22.82    0.03   22.55    0.03
   323873 149.65054509  1.777830381   0.67 11.15 -11.79   25.16    0.19   23.93    0.05   22.29    0.03   21.40    0.01   20.27    0.01   19.78    0.00
   323937 149.69416040  1.780557036   1.51 10.51  -2.82   27.03   -1.00   26.84    0.29   26.77    0.42   25.64    0.15   24.62    0.10   23.75    0.07
   323978 150.19239714  1.781273510   1.07 10.12   1.15   27.38   -1.00   27.53    0.54   26.63    0.37   25.81    0.17   24.69    0.08   23.86    0.07
   324030 149.44352864  1.780433716   1.01 10.33  -2.24   26.76   -1.00   27.16    0.42   26.23    0.29   25.13    0.11   24.04    0.06   23.13    0.04
   324246 149.73365064  1.781951937   0.68  9.14  -1.71   26.99   -1.00   26.64    0.26   26.19    0.26   25.25    0.12   24.32    0.08   24.03    0.09
   324302 150.42884634  1.780687533   0.51  9.88  -2.11   26.21    0.37   25.00    0.09   23.73    0.05   22.88    0.03   22.13    0.02   21.77    0.01
   324321 149.92713730  1.778786469   0.70 11.00  -0.55   24.82    0.13   24.34    0.07   23.17    0.04   22.35    0.02   21.20    0.01   20.67    0.01
   324325 150.19958555  1.781806023   1.17 10.46  -1.10   26.87    0.50   26.47    0.23   26.16    0.26   25.10    0.10   24.03    0.05   22.91    0.03
   324361 149.98111011  1.781810798   1.16 10.36  -0.77   27.23   -1.00   25.74    0.12   25.81    0.18   24.83    0.08   23.79    0.04   22.94    0.03
   324488 149.94054509  1.789669665   0.38 11.23  -0.74   22.77    0.02   21.56    0.02   20.27    0.01   19.46    0.01   18.82    0.00   18.47    0.00
   324860 150.23447348  1.783074430   0.93  9.69  -1.87   27.21   -1.00   27.38    0.46   26.91    0.46   25.89    0.18   24.81    0.09   24.05    0.08
   324941 150.45823143  1.782153123   0.60  9.00  -1.58   26.57    0.50   26.24    0.22   25.78    0.20   24.78    0.08   24.07    0.06   23.87    0.07
   324946 150.43993026  1.782888382   0.94 10.18  -8.86   27.05   -1.00   27.07    0.42   25.98    0.23   24.92    0.09   23.87    0.05   23.07    0.03
   324973 150.23791271  1.782802192   0.55  9.12  -1.73   26.78    0.56   26.14    0.18   25.23    0.13   24.42    0.06   23.75    0.05   23.45    0.05
   324977 149.69169281  1.782552645   0.92 10.53  -0.37   26.01    0.33   25.99    0.17   25.36    0.15   24.74    0.09   23.61    0.05   22.83    0.03
   325111 149.48237012  1.783605437   0.24  8.12  -3.55   26.95   -1.00   27.69    0.63   26.31    0.30   25.41    0.14   24.96    0.15   24.67    0.14
   325206 149.55948864  1.781641856   0.64 10.45  -0.65   25.10    0.20   24.53    0.07   23.53    0.05   22.69    0.03   21.83    0.01   21.44    0.01
   325211 149.67037629  1.781016538   0.90 10.55  -0.59   25.05    0.14   24.81    0.07   24.03    0.06   23.32    0.03   22.25    0.02   21.57    0.01
   325263 150.14284194  1.781493234   0.50 10.23  -0.03   26.18    0.29   25.09    0.09   23.93    0.06   23.01    0.03   22.27    0.02   21.74    0.01
   325485 149.95882957  1.782968219   1.63 10.45   1.52   26.34    0.55   26.02    0.22   25.71    0.24   25.41    0.16   24.50    0.10   24.26    0.14
   325579 150.13654830  1.781820235   0.52 10.48  -0.85   25.10    0.11   24.19    0.05   23.08    0.04   22.17    0.02   21.37    0.01   20.96    0.01
   325808 150.02242248  1.782734941   1.13 10.15   1.10   26.60    0.42   26.08    0.18   25.30    0.14   24.92    0.10   24.08    0.05   23.27    0.04
   326034 150.36567399  1.784966480   0.10  7.53  -4.52   26.89    0.63   26.54    0.26   26.07    0.23   25.28    0.11   24.69    0.08   24.24    0.09
   326154 150.21589254  1.781531159   0.27  9.74  -2.83   24.02    0.05   23.10    0.03   21.90    0.02   21.36    0.01   20.88    0.01   20.57    0.00
   326430 150.41559841  1.783484256   0.50  9.95  -1.61   25.78    0.27   24.38    0.06   23.32    0.04   22.46    0.02   21.75    0.01   21.39    0.01
   326502 149.51092183  1.783818611   0.83 10.47   0.10   24.70    0.21   24.61    0.10   23.80    0.09   23.44    0.06   22.50    0.04   21.94    0.03
   326538 149.95764777  1.785224169   0.63  9.64  -7.97   27.12   -1.00   27.66    0.54   26.41    0.29   25.43    0.15   24.33    0.06   23.80    0.06
   326554 149.44509159  1.781689026   0.48 10.37 -12.57   25.70    0.32   24.05    0.05   22.80    0.03   21.86    0.02   21.12    0.01   20.72    0.00
   326670 150.11375219  1.783778943   1.44 10.86 -12.08   27.33   -1.00   27.74   -1.00   27.36    0.71   26.63    0.36   24.95    0.11   24.11    0.09
   326686 150.43131053  1.783330941   0.40  9.89  -7.85   25.26    0.17   24.02    0.05   22.81    0.03   22.04    0.02   21.44    0.01   21.06    0.01
   326720 150.48484237  1.781669868   0.73 10.56  -0.17   26.07    0.46   24.95    0.11   23.97    0.07   23.29    0.04   22.27    0.02   21.80    0.02
   326815 150.47733740  1.783535460   1.16 10.94   0.09   24.68    0.11   24.34    0.07   23.91    0.06   23.28    0.04   22.31    0.02   21.26    0.01
   327033 150.17073052  1.786257232   0.29  8.22  -7.36   27.30   -1.00   26.70    0.31   25.40    0.15   24.91    0.11   24.23    0.06   24.07    0.10
   327060 149.80100534  1.785673346   0.74  9.87  -1.70   26.98   -1.00   26.49    0.23   25.22    0.13   24.38    0.06   23.25    0.03   22.77    0.03
   327303 149.96053062  1.782360625   0.73 11.28  -0.49   25.28    0.19   24.52    0.07   22.87    0.04   22.01    0.02   20.76    0.01   20.21    0.00
   327334 150.06930209  1.783020029   0.31 10.35  -0.57   23.38    0.02   22.61    0.02   21.45    0.02   20.80    0.01   20.30    0.01   19.91    0.00
   327394 150.17473622  1.783830392   0.99 11.03  -0.97   26.34    0.34   25.45    0.12   24.13    0.06   23.10    0.03   21.91    0.01   20.99    0.01
   327423 149.97510760  1.785881305   1.44 11.08  -1.48   27.17   -1.00   27.30    0.48   26.08    0.26   25.33    0.15   23.87    0.05   22.99    0.03
   327501 150.14805339  1.784223393   0.34 11.00  -0.67   22.93    0.02   21.89    0.02   20.59    0.01   19.91    0.01   19.28    0.00   18.89    0.00
   327591 150.43513952  1.785426756   1.01 10.61  -0.52   25.53    0.22   25.11    0.10   24.69    0.10   23.77    0.05   22.60    0.02   21.67    0.01
   327687 149.43895859  1.786074559   0.03  7.11  -6.12   26.57    0.65   25.01    0.08   24.18    0.06   23.69    0.05   23.30    0.04   23.13    0.04
   327690 150.44977797  1.783686152   0.67 10.67  -1.33   25.64    0.28   24.33    0.07   22.89    0.03   22.09    0.02   21.06    0.01   20.61    0.00
   327730 149.84440047  1.786292720   1.45 10.54  -0.59   27.01   -1.00   26.62    0.25   26.31    0.31   25.75    0.18   24.58    0.09   23.72    0.06
   327753 149.85462543  1.785539157   0.12  8.27  -2.64   25.13    0.15   24.32    0.06   23.43    0.04   23.08    0.03   22.72    0.02   22.47    0.02
   327792 150.43122217  1.786759205   0.87 10.37   0.11   25.91    0.28   25.59    0.14   24.89    0.10   24.30    0.06   23.25    0.03   22.60    0.02
   327903 149.61660267  1.786708880   0.24  8.63  -7.81   26.18    0.46   24.98    0.08   23.86    0.05   23.41    0.04   22.93    0.03   22.72    0.03
   327960 149.65314646  1.786872912   0.58 10.03  -7.72   26.23    0.41   25.06    0.08   23.88    0.05   23.05    0.03   22.16    0.02   21.76    0.01
   328076 150.45134098  1.787700843   0.89  9.88  -1.25   27.06   -1.00   26.70    0.31   25.64    0.17   24.88    0.09   23.81    0.05   23.12    0.04
   328259 150.40776587  1.787266461   0.98 10.78  -0.13   25.26    0.16   25.01    0.09   24.29    0.07   23.62    0.04   22.79    0.02   21.94    0.01
   328345 150.19426403  1.786336650   1.19 11.02  -0.54   26.17    0.31   25.24    0.11   24.65    0.10   23.79    0.05   22.74    0.02   21.64    0.01
   328518 150.17101740  1.787629636   0.87 10.54 -12.40   27.31   -1.00   27.16    0.42   25.32    0.15   24.22    0.06   23.00    0.03   22.17    0.02
   328549 150.45144660  1.788079987   0.82 10.14  -0.41   26.33    0.42   25.83    0.16   25.18    0.13   24.65    0.08   23.52    0.04   23.02    0.03
   328633 150.18943524  1.788429006   0.23  8.22  -3.83   27.31   -1.00   27.21    0.44   25.54    0.16   25.26    0.12   24.80    0.10   24.71    0.17
   328786 150.44931051  1.788639348   0.87  9.88  -6.56   27.03   -1.00   27.44    0.54   26.17    0.27   25.12    0.11   23.99    0.06   23.36    0.04
   328848 149.58567826  1.789302232   0.35  8.28  -6.48   26.78   -1.00   27.25    0.43   25.96    0.22   25.18    0.11   24.45    0.11   24.34    0.12
   328880 149.41337537  1.788169207   0.95  9.90  -9.14   26.88   -1.00   27.77   -1.00   27.30    0.69   25.76    0.18   24.62    0.10   23.79    0.07
   329038 150.21257222  1.789333064   0.43  8.46  -2.12   27.24   -1.00   26.98    0.34   25.29    0.13   24.98    0.09   24.45    0.07   24.38    0.12
   329202 150.22888122  1.788287181   0.53 10.12  -0.61   25.33    0.15   24.62    0.07   23.75    0.05   22.94    0.03   22.22    0.02   21.80    0.01
   329223 149.74969769  1.785591255   0.33 10.50  -1.49   22.64    0.02   21.66    0.02   20.46    0.01   19.88    0.01   19.34    0.00   19.06    0.00
   329303 149.85660978  1.788981726   0.06  7.34  -3.95   25.91    0.29   25.11    0.09   24.34    0.07   23.99    0.05   23.63    0.04   23.47    0.05
   329362 149.61558651  1.788600464   0.69 10.15  -1.42   26.68    0.78   25.33    0.11   24.11    0.06   23.27    0.03   22.26    0.02   21.83    0.01
   329373 150.13922703  1.785526228   0.47 10.68  -0.42   24.26    0.06   23.45    0.04   22.32    0.03   21.50    0.02   20.72    0.01   20.29    0.00
   329403 150.44839828  1.788883311   0.88 10.48  -0.64   27.00   -1.00   26.81    0.39   25.91    0.26   25.05    0.13   23.77    0.06   23.11    0.04
   329456 149.96323753  1.790123559   0.80  9.36  -6.22   27.19   -1.00   27.81   -1.00   26.96    0.48   25.79    0.18   24.71    0.08   24.05    0.08
   329558 149.63582135  1.789734832   1.59 10.77  -2.56   26.99   -1.00   26.90    0.31   25.90    0.21   25.37    0.13   24.32    0.08   23.31    0.05
   329574 150.43030896  1.789706936   0.89 10.08  -1.49   26.65    0.55   26.68    0.34   25.57    0.17   24.74    0.08   23.53    0.04   22.84    0.03
   329744 150.40364900  1.789159027   0.97 10.68   0.21   25.15    0.15   24.87    0.08   24.34    0.07   23.84    0.05   22.93    0.03   22.11    0.01
   329781 150.07423416  1.789632719   1.22 10.86  -0.71   26.55    0.41   25.72    0.14   25.22    0.13   24.33    0.06   23.23    0.03   22.16    0.02
   329823 150.18922845  1.786753288   0.82 11.03  -0.53   24.41    0.07   23.92    0.05   22.76    0.03   21.93    0.02   20.78    0.01   20.15    0.00
   329892 150.20182148  1.790358924   0.90  9.62  -1.95   27.05    0.68   27.44    0.55   26.82    0.48   26.27    0.27   24.74    0.09   24.09    0.10
   330011 150.42155885  1.787906836   1.04 11.38  -0.61   25.49    0.23   24.67    0.08   23.56    0.05   22.46    0.02   21.27    0.01   20.26    0.00
   330040 150.48482160  1.788633243   0.97 10.81  -1.76   27.00   -1.00   26.41    0.28   24.92    0.13   23.96    0.07   22.60    0.03   21.66    0.01
   330064 149.98398087  1.789412046   0.85  9.97  -0.58   27.04   -1.00   26.65    0.30   25.82    0.22   25.14    0.12   24.15    0.06   23.57    0.07
   330123 149.53965501  1.788898767   0.60 10.51  -0.83   25.65    0.30   24.61    0.07   23.41    0.04   22.64    0.03   21.72    0.01   21.29    0.01
   330250 150.42042897  1.788251608   1.03 10.97  -1.60   26.88   -1.00   26.01    0.21   24.73    0.11   23.67    0.05   22.48    0.02   21.48    0.01
   330371 149.93367127  1.791474622   0.46  8.65  -3.08   26.96    0.70   25.75    0.14   24.98    0.10   24.24    0.06   23.84    0.04   23.66    0.06
   330504 150.26828476  1.788216753   0.38 10.86  -1.12   23.73    0.05   22.52    0.03   21.21    0.02   20.39    0.01   19.79    0.01   19.41    0.00
   330554 149.59710899  1.789558763   0.44 10.25  -0.87   25.50    0.27   24.37    0.06   23.19    0.04   22.35    0.02   21.68    0.01   21.27    0.01
   330621 149.96124755  1.790693515   0.90  9.67  -1.47   26.50   -1.00   27.17   -1.00   26.22    0.47   25.53    0.27   24.30    0.11   23.82    0.12
   330677 150.33505344  1.791502616   0.88 10.23  -1.33   26.89    0.67   26.42    0.23   25.08    0.11   24.18    0.05   23.03    0.03   22.35    0.02
   330717 149.53761904  1.787765478   0.87 11.13  -0.87   25.10    0.20   24.53    0.07   23.05    0.04   22.22    0.02   21.00    0.01   20.27    0.00
   330774 149.45351778  1.788811728   1.47 10.96  -1.24   24.22    0.37   24.40    0.19   24.30    0.25   23.60    0.16   22.71    0.11   22.72    0.17
   330786 150.20264388  1.789771585   0.97 11.12 -20.49   26.35    0.39   25.89    0.17   24.80    0.11   23.91    0.05   22.63    0.02   21.70    0.01
   330812 149.47769051  1.790391313   0.77 10.05  -0.80   25.20    0.20   25.00    0.09   24.26    0.07   23.47    0.04   22.48    0.02   22.08    0.02
   330824 150.20809583  1.789711218   0.34 10.47  -7.28   22.65    0.02   21.78    0.02   20.60    0.01   19.98    0.01   19.49    0.00   19.14    0.00
   330833 149.75819459  1.788366990   0.47 10.43  -2.14   24.95    0.13   23.57    0.04   22.37    0.02   21.44    0.01   20.73    0.01   20.36    0.00
   330857 150.18901844  1.790932465   1.07 10.83   0.14   24.70    0.08   24.43    0.06   24.23    0.07   23.74    0.05   22.91    0.03   21.97    0.02
   330961 149.64278800  1.792224730   1.69 10.75  -0.81   27.02   -1.00   27.10    0.46   26.56    0.42   26.10    0.30   24.94    0.18   24.16    0.10
   330991 150.44879739  1.788480426   0.88 10.78  -1.78   26.18    0.43   25.51    0.15   24.35    0.09   23.39    0.04   22.18    0.02   21.41    0.01
   331082 149.47279480  1.790121356   1.05 11.07  -2.22   26.41    0.63   26.24    0.22   25.08    0.13   23.72    0.05   22.55    0.02   21.52    0.01
   331314 150.27258145  1.791998621   0.92 10.29  -1.28   27.08   -1.00   26.30    0.22   25.06    0.12   24.29    0.06   23.15    0.03   22.41    0.02
   331464 150.24305322  1.791572513   1.91 11.42   1.38   27.01   -1.00   26.19    0.24   25.65    0.23   25.63    0.19   24.94    0.13   24.27    0.12
   331474 149.93258841  1.792774374   1.15 10.59  -0.31   26.39    0.42   26.09    0.18   25.62    0.17   24.92    0.10   23.96    0.05   23.02    0.04
   331482 149.80913440  1.792972693   0.60  9.06  -1.79   27.03   -1.00   27.11    0.39   25.72    0.20   24.86    0.09   24.02    0.07   23.84    0.08
   331520 149.66699498  1.790893293   0.69 10.02  -1.97   26.98   -1.00   26.27    0.19   24.78    0.09   23.83    0.04   22.71    0.02   22.27    0.02
   331600 149.90995620  1.793280682   0.92  9.51  -3.22   27.10   -1.00   26.78    0.29   26.33    0.29   26.03    0.22   24.54    0.08   23.36    0.05
   331693 149.46337395  1.791880136   0.77 10.06  -1.08   26.01    0.40   25.77    0.15   24.52    0.08   23.73    0.05   22.67    0.02   22.20    0.02
   331833 150.46973595  1.793349383   0.90  9.90  -1.66   27.09   -1.00   26.95    0.40   26.04    0.24   25.09    0.10   24.02    0.06   23.32    0.04
   332104 150.22099092  1.792799759   0.95 10.41  -0.71   27.17   -1.00   27.33    0.47   26.49    0.34   25.78    0.18   24.26    0.06   23.37    0.05
   332131 150.02029084  1.792228674   0.96 10.73   0.04   25.61    0.18   25.17    0.10   24.87    0.11   24.13    0.07   23.16    0.03   22.22    0.02
   332156 150.23588042  1.791352227   0.84 10.92   0.23   24.79    0.10   24.35    0.06   23.58    0.05   22.92    0.03   21.88    0.01   21.16    0.01
   332212 149.85972359  1.792307446   0.52  9.92  -1.81   24.34    0.07   23.47    0.04   22.47    0.03   21.58    0.01   21.01    0.01   20.77    0.01
   332220 150.49284453  1.793219599   1.81 10.60  -0.70   26.56    0.63   25.85    0.20   25.15    0.14   24.81    0.11   24.45    0.10   23.77    0.08
   332246 149.71705571  1.792134704   0.85 10.51  -0.04   25.51    0.23   25.16    0.10   24.55    0.09   23.83    0.05   22.85    0.03   22.20    0.02
   332310 150.30409237  1.793895190   0.98 10.43  -0.69   26.50    0.47   26.08    0.18   25.77    0.18   24.99    0.09   23.95    0.05   22.99    0.03
   332337 150.37774372  1.794251459   0.48  9.10  -2.01   27.05   -1.00   26.44    0.26   25.68    0.17   24.87    0.09   24.30    0.07   23.88    0.07
   332402 150.00032704  1.794002324   1.19 10.69  -1.31   27.26   -1.00   26.89    0.32   25.90    0.21   24.92    0.09   23.66    0.04   22.63    0.02
   332435 149.75311183  1.791034553   0.92 10.53  -1.46   26.77   -1.00   26.13    0.21   24.92    0.12   23.84    0.05   22.71    0.03   21.93    0.02
   332449 150.19170470  1.792631878   1.60 11.20 -11.74   26.52    0.43   26.65    0.30   26.37    0.35   25.79    0.20   24.64    0.10   23.67    0.07
   332610 149.44664820  1.791657831   0.31  9.90  -7.84   23.78    0.05   22.85    0.03   21.72    0.02   21.12    0.01   20.59    0.01   20.30    0.00
   332760 150.47204357  1.793751739   1.24 10.68 -12.26   27.04   -1.00   26.68    0.32   26.09    0.26   25.75    0.18   24.36    0.08   23.52    0.05
   332852 149.98251573  1.792207866   0.34 10.17 -10.60   24.15    0.06   22.89    0.03   21.69    0.02   21.00    0.01   20.43    0.01   20.10    0.00
   332877 149.78390356  1.793312827   1.87 11.28   1.24   25.90    0.36   25.68    0.15   25.38    0.19   25.22    0.16   24.94    0.20   24.36    0.14
   332902 149.65197359  1.794589106   1.11 10.48  -0.66   26.98   -1.00   25.95    0.16   25.39    0.16   24.46    0.08   23.39    0.04   22.38    0.02
   333011 150.38662862  1.793116726   0.91 10.78  -0.79   25.70    0.26   25.06    0.09   23.97    0.06   23.11    0.03   21.84    0.01   21.13    0.01
   333099 150.43617098  1.794281215   0.56  9.45  -0.88   25.45    0.19   24.71    0.08   23.97    0.06   23.20    0.03   22.54    0.02   22.28    0.02
   333112 149.94093775  1.793765182   0.43 10.81  -2.48   23.79    0.06   22.35    0.02   21.17    0.02   20.25    0.01   19.61    0.01   19.21    0.00
   333135 150.47296707  1.792941969   1.32 10.68  -0.88   26.80    0.70   26.65    0.34   25.99    0.26   25.22    0.13   23.99    0.06   23.01    0.04
   333137 149.72648588  1.792075659   0.56 10.87  -0.46   25.48    0.23   24.25    0.06   22.91    0.03   21.94    0.02   20.96    0.01   20.49    0.00
   333163 150.37316319  1.794493623   0.89 10.65  -0.91   27.00   -1.00   25.51    0.12   24.20    0.06   23.25    0.03   22.06    0.02   21.34    0.01
   333221 150.43654173  1.795115433   0.52  9.32  -1.26   25.87    0.29   25.21    0.11   24.35    0.08   23.46    0.04   22.79    0.03   22.57    0.02
   333363 150.32945619  1.795427559   1.96 10.79  -0.51   26.29    0.39   25.73    0.14   24.95    0.10   24.64    0.07   24.40    0.07   23.74    0.06
   333401 149.80002736  1.795056675   0.97 10.22  -2.35   26.92   -1.00   27.64    0.65   26.85    0.49   25.31    0.13   24.00    0.06   23.08    0.04
   333482 150.31223282  1.795257927   1.22 10.71  -0.86   26.81    0.62   25.87    0.15   25.63    0.16   24.86    0.08   23.63    0.04   22.63    0.02
   333547 150.19180099  1.796446721   0.35  8.08  -5.25   27.43   -1.00   26.68    0.25   25.81    0.18   25.30    0.11   24.77    0.08   24.61    0.14
   333690 149.60798939  1.792007580   0.47 10.69 -10.09   24.37    0.10   22.86    0.03   21.66    0.02   20.75    0.01   20.05    0.01   19.68    0.00
   333751 150.48073916  1.793297921   0.85 11.05  -0.28   25.25    0.17   24.86    0.09   23.91    0.06   23.06    0.03   21.85    0.02   20.99    0.01
   333761 149.98341264  1.791993380   0.34 10.60  -2.69   23.28    0.03   22.06    0.02   20.81    0.01   20.08    0.01   19.49    0.00   19.10    0.00
   333873 149.75748641  1.798303933   0.56 11.07 -11.87   24.54    0.13   23.16    0.04   21.81    0.02   20.86    0.01   19.90    0.01   19.47    0.00
   333887 149.64803403  1.794786016   1.69 11.35   0.21   26.04    0.37   25.55    0.13   24.68    0.10   24.26    0.06   23.29    0.04   22.41    0.02
   333903 149.93890168  1.796571863   0.53  8.79  -3.94   27.11   -1.00   26.66    0.27   25.63    0.17   24.73    0.08   24.12    0.05   23.78    0.07
   333962 150.01137168  1.793889429   1.21 10.88  -0.25   25.91    0.27   25.11    0.10   24.72    0.10   23.78    0.05   22.80    0.03   21.81    0.01
   334007 149.79559028  1.795428181   0.98 10.52  -7.22   26.98   -1.00   26.87    0.31   25.62    0.17   24.34    0.06   23.10    0.03   22.19    0.02
   334016 150.48179345  1.795039259   1.04 10.76  -0.36   25.67    0.24   25.45    0.13   25.06    0.13   24.36    0.07   23.24    0.04   22.39    0.02
   334078 150.20098801  1.796807575   1.18 10.20  -1.79   27.38   -1.00   27.37    0.47   27.41   -1.00   26.00    0.20   24.83    0.09   23.87    0.07
   334156 150.37277266  1.797183021   0.15  7.42  -4.78   26.24    0.36   25.77    0.14   24.83    0.09   24.51    0.06   24.24    0.06   24.09    0.08
   334222 149.78009124  1.794661896   0.48 10.13  -2.44   25.81    0.28   24.33    0.06   23.18    0.04   22.23    0.02   21.45    0.01   21.07    0.01
   334303 149.69867458  1.794786401   0.69 10.27  -1.30   25.82    0.29   25.04    0.09   23.91    0.06   23.00    0.03   21.92    0.02   21.49    0.01
   334365 149.45178676  1.797973416   1.62 10.66  -1.54   26.24   -1.00   26.35    0.34   25.78    0.31   25.14    0.18   24.06    0.10   23.75    0.12
   334476 149.50514517  1.796694658   1.29 10.81   0.34   26.80   -1.00   26.21    0.20   26.02    0.28   25.32    0.16   24.43    0.12   23.44    0.06
   334516 150.12053120  1.796295354   0.53  9.62  -1.30   27.35    0.80   26.57    0.24   25.21    0.12   24.45    0.07   23.64    0.04   23.17    0.04
